RowNr	L1ReqId	Text	ComplianceType	ComplianceStatement	L2ReqId	L2ReqText
470	SKA1-SYS_REQ-3249	"SKA1_Low and SKA1_Mid shall each test (for), detect, isolate and report failures to the operational and maintenance personnel.


 
	 SKA1_Mid shall detect   more than 99% of all Critical Failures. 
	 SKA1_Mid shall isolate and log more than 95% of all failures down to a LRU level."	Derived to L2	Yes	TM_REQ_1	"The TM shall perform the Detect Internal Failures function by detecting and reporting the failure to perform a required function on any of its subsystems and lower level components down to the level of LRU with a probability higher than:
99% for detection of Critical Failures (as defined by [RD51],
95% for isolating and logging of all failures.
"
471	SKA1-SYS_REQ-3249	"SKA1_Low and SKA1_Mid shall each test (for), detect, isolate and report failures to the operational and maintenance personnel.


 
	 SKA1_Mid shall detect   more than 99% of all Critical Failures. 
	 SKA1_Mid shall isolate and log more than 95% of all failures down to a LRU level."	Derived to L2	Yes	TM_REQ_1	"The TM shall perform the Detect Internal Failures function by detecting and reporting the failure to perform a required function on any of its subsystems and lower level components down to the level of LRU with a probability higher than:
99% for detection of Critical Failures (as defined by [RD51],
95% for isolating and logging of all failures.
"
46	SKA1-SYS_REQ-2279	"A failure database for the SKA1_Low and SKA1_Mid shall be established, which logs the errors of the system and its subsystems, including the corrective actions taken."	Derived to L2	Yes	TM_REQ_10	"The TM shall report failure events received from other Elements (as well as those internally detected by its own monitoring system) to the Operator.
Note that failures may in addition also be reported by the source of information as Alarms if the qualified criteria are met (i.e. when they require not only maintainer action but also operator intervention).
"
282	SKA1-SYS_REQ-3002	The SKA1_Low shall have a Maintenance/ administration sub-array to which any station may be allocated.	Non compliance	Yes	TM_REQ_10	"The TM shall report failure events received from other Elements (as well as those internally detected by its own monitoring system) to the Operator.
Note that failures may in addition also be reported by the source of information as Alarms if the qualified criteria are met (i.e. when they require not only maintainer action but also operator intervention)."
283	SKA1-SYS_REQ-3003	The SKA1_Mid shall have a Maintenance/ administration sub-array to which any dish may be allocated.	Non compliance	Yes	TM_REQ_10	"The TM shall report failure events received from other Elements (as well as those internally detected by its own monitoring system) to the Operator.
Note that failures may in addition also be reported by the source of information as Alarms if the qualified criteria are met (i.e. when they require not only maintainer action but also operator intervention)."
470	SKA1-SYS_REQ-3249	"SKA1_Low and SKA1_Mid shall each test (for), detect, isolate and report failures to the operational and maintenance personnel.


 
	 SKA1_Mid shall detect   more than 99% of all Critical Failures. 
	 SKA1_Mid shall isolate and log more than 95% of all failures down to a LRU level."	Derived to L2	Yes	TM_REQ_10	"The TM shall report failure events received from other Elements (as well as those internally detected by its own monitoring system) to the Operator.
Note that failures may in addition also be reported by the source of information as Alarms if the qualified criteria are met (i.e. when they require not only maintainer action but also operator intervention).
"
471	SKA1-SYS_REQ-3249	"SKA1_Low and SKA1_Mid shall each test (for), detect, isolate and report failures to the operational and maintenance personnel.


 
	 SKA1_Mid shall detect   more than 99% of all Critical Failures. 
	 SKA1_Mid shall isolate and log more than 95% of all failures down to a LRU level."	Derived to L2	Yes	TM_REQ_10	"The TM shall report failure events received from other Elements (as well as those internally detected by its own monitoring system) to the Operator.
Note that failures may in addition also be reported by the source of information as Alarms if the qualified criteria are met (i.e. when they require not only maintainer action but also operator intervention).
"
162	SKA1-SYS_REQ-2735	"The SKA1-Mid and SKA1-Low shall provide the capability for authorised personnel to take manual control of the telescope, its subarrays, components and instrumentation."	Derived to L2	Yes	TM_REQ_100	"The TM, when in Manual Execution Mode and requested by the Operator, shall execute a Scheduling Block from the Schedule, as selected by the Operator.
"
366	SKA1-SYS_REQ-3125	"The SKA1_Mid and SKA1_Low telescopes, with the support of SKA1_Common, shall implement flexible scheduling."	Derived to L2	Yes	TM_REQ_101	"The TM, when in Automatic Execution Mode, shall automatically execute Scheduling Blocks (for which resources are available) in the order of sequence set by the Schedule.
 
Note: The Scheduling Block is the smallest unit of scheduling for observations.
TMO_REQ_014
The TMO shall implement flexible scheduling (as part of observation planning support) by automatically ordering the Scheduling Blocks of the Schedules created for the SKA1_Mid Telescope and SKA1_Low Telescope.
 
Note that each Telescope will, use a scheduler that is capable of flexibly executing the Schedule provided, thus maintaining the Schedule."
398	SKA1-SYS_REQ-3168	"The SKA1_Mid and SKA1_Low shall ?dynamically adapt the schedule in response to any sanctioned ToO, VOEvents, or other approved triggers or overrides. The associated Scheduling Block shall enter the schedule according to the trigger's priority."	Derived to L2	Yes	TM_REQ_101	"The TM, when in Automatic Execution Mode, shall automatically execute Scheduling Blocks (for which resources are available) in the order of sequence set by the Schedule.
 
Note: The Scheduling Block is the smallest unit of scheduling for observations.
"
2	SKA1-SYS_REQ-2128	Both SKA1_Mid and SKA1_Low shall have an imaging capability that will acquire continuum and spectral?line data concurrently.	Derived to L2	Yes	TM_REQ_103	"The TM shall be able to execute Scheduling Blocks concurrently.
Note 1: The TM will do this by executing a Scheduling Block on one Sub-array while executing another Scheduling Block on a different Sub-array. In other words by having Sub-arrays as independent resources.
"
272	SKA1-SYS_REQ-2992	"Unless explicitly stated otherwise, SKA1_Low shall accept and execute commands for, and process data from, each subarray completely independently of and concurrently with all others."	Derived to L2	Yes	TM_REQ_103	"The TM shall be able to execute Scheduling Blocks concurrently.
Note 1: The TM will do this by executing a Scheduling Block on one Sub-array while executing another Scheduling Block on a different Sub-array. In other words by having Sub-arrays as independent resources."
273	SKA1-SYS_REQ-2993	"Unless explicitly stated otherwise, SKA1_Mid shall accept and execute commands for, and process data from, each subarray independently of and concurrently with all others."	Derived to L2	Yes	TM_REQ_103	"The TM shall be able to execute Scheduling Blocks concurrently.
Note 1: The TM will do this by executing a Scheduling Block on one Sub-array while executing another Scheduling Block on a different Sub-array. In other words by having Sub-arrays as independent resources."
293	SKA1-SYS_REQ-3016	SKA1-Low shall provide independent logical control and monitoring for each instantiated sub-array.	Derived to L2	Yes	TM_REQ_103	"The TM shall be able to execute Scheduling Blocks concurrently.
Note 1: The TM will do this by executing a Scheduling Block on one Sub-array while executing another Scheduling Block on a different Sub-array. In other words by having Sub-arrays as independent resources."
521	SKA1-SYS_REQ-3468	"When commanded, SKA1_Mid shall archive all or part of the transient buffer based on the results of single-pulse searches, independently for each subarray."	Derived to L2	Yes	TM_REQ_103	"The TM shall be able to execute Scheduling Blocks concurrently.
Note 1: The TM will do this by executing a Scheduling Block on one Sub-array while executing another Scheduling Block on a different Sub-array. In other words by having Sub-arrays as independent resources.
"
525	SKA1-SYS_REQ-3524	"When commanded, SKA1_Low shall archive all or part of the transient buffer based on the results of single-pulse searches, independently for each subarray."	Derived to L2	Yes	TM_REQ_103	"The TM shall be able to execute Scheduling Blocks concurrently.
Note 1: The TM will do this by executing a Scheduling Block on one Sub-array while executing another Scheduling Block on a different Sub-array. In other words by having Sub-arrays as independent resources.
"
534	SKA1-SYS_REQ-3547	"The SKA1_Mid telescope, when commanded, shall operate simultaneously with any combination of the following observing modes: 


 
	 Imaging 
	 Pulsar Search 
	 Pulsar Timing 
	 Dynamic Spectrum 
	 Transient Search 
	 VLBI"	Derived to L2	Yes	TM_REQ_103	"The TM shall be able to execute Scheduling Blocks concurrently.
Note 1: The TM will do this by executing a Scheduling Block on one Sub-array while executing another Scheduling Block on a different Sub-array. In other words by having Sub-arrays as independent resources."
535	SKA1-SYS_REQ-3548	"The SKA1_Low telescope, when commanded, shall operate simultaneously with any combination of the following observation modes: 


 
	 Imaging 
	 Pulsar Search 
	 Pulsar Timing 
	 Dynamic Spectrum 
	 Transient Search"	Derived to L2	Yes	TM_REQ_103	"The TM shall be able to execute Scheduling Blocks concurrently.
Note 1: The TM will do this by executing a Scheduling Block on one Sub-array while executing another Scheduling Block on a different Sub-array. In other words by having Sub-arrays as independent resources."
162	SKA1-SYS_REQ-2735	"The SKA1-Mid and SKA1-Low shall provide the capability for authorised personnel to take manual control of the telescope, its subarrays, components and instrumentation."	Derived to L2	Yes	TM_REQ_109	"The TM shall give the following options to the Operator to cancel a currently executing Scheduling Block:
abort now: end execution of the Scheduling Block immediately, discarding the data,
stop: end execution of the Scheduling Block at the end of the current Scan.
Note: Without this Operator intervention, the TM will allow the Scheduling Block to run to completion.
"
